seat_code,state,seat,mp
P001,Perlis,Padang Besar,Zahidi bin Zainul Abidin
P002,Perlis,Kangar,Noor Amin bin Ahmad
P003,Perlis,Arau,Shahidan bin Kassim
P004,Kedah,Langkawi,Mahathir bin Mohamad
P005,Kedah,Jerlun,Mukhriz Tun Dr. Mahathir
P006,Kedah,Kubang Pasu,Amiruddin bin Hamzah
P007,Kedah,Padang Terap,Mahdzir bin Khalid
P008,Kedah,Pokok Sena,Mahfuz bin Omar
P009,Kedah,Alor Setar,Chan Ming Kai
P010,Kedah,Kuala Kedah,Azman bin Ismail
P011,Kedah,Pendang,Awang bin Hashim
P012,Kedah,Jerai,Sabri bin Azit
P013,Kedah,Sik,Ahmad Tarmizi bin Sulaiman
P014,Kedah,Merbok,Nor Azrina binti Surip
P015,Kedah,Sungai Petani,Johari bin Abdul
P016,Kedah,Baling,Abdul Azeez bin Abdul Rahim
P017,Kedah,Padang Serai,Karupaiya Mutusami
P018,Kedah,Kulim Bandar Baharu,Saifuddin Nasution bin Ismail
P019,Kelantan,Tumpat,Che Abdullah bin Mat Nawi
P020,Kelantan,Pengkalan Chepa,Ahmad Marzuk bin Shaary
P021,Kelantan,Kota Bharu,Takiyuddin bin Hassan
P022,Kelantan,Pasir Mas,Ahmad Fadhli bin Shaari
P023,Kelantan,Rantau Panjang,Siti Zailah binti Mohd Yusoff
P024,Kelantan,Kubang Kerian,Tuan Ibrahim bin Tuan Man
P025,Kelantan,Bachok,Nik Mohamad Abduh bin Nik Abdul Aziz
P026,Kelantan,Ketereh,Annuar bin Musa
P027,Kelantan,Tanah Merah,Ikmal Hisham bin Abdul Aziz
P028,Kelantan,Pasir Puteh,Nik Muhammad Zawawi bin Salleh
P029,Kelantan,Machang,Ahmad Jazlan bin Yaakub
P030,Kelantan,Jeli,Mustapa bin Mohamed
P031,Kelantan,Kuala Krai,Abdul Latif bin Abdul Rahman
P032,Kelantan,Gua Musang,Tengku Razaleigh bin Tengku Mohd Hamzah
P033,Terengganu,Besut,Idris bin Jusoh
P034,Terengganu,Setiu,Shaharizukirnain bin Abdul Kadir
P035,Terengganu,Kuala Nerus,Mohd Khairuddin bin Aman Razali
P036,Terengganu,Kuala Terengganu,Ahmad Amzah bin Mohamed @ Hashim
P037,Terengganu,Marang,Abdul Hadi bin Awang
P038,Terengganu,Hulu Terengganu,Rosol bin Wahid
P039,Terengganu,Dungun,Wan Hassan bin Mohd Ramli
P040,Terengganu,Kemaman,Che Alias bin Hamid
P041,Pulau Pinang,Kepala Batas,Reezal Merican bin Naina Merican
P042,Pulau Pinang,Tasek Gelugor,Shabudin bin Yahya
P043,Pulau Pinang,Bagan,Lim Guan Eng
P044,Pulau Pinang,Permatang Pauh,Nurul Izzah binti Dato' Seri Anwar
P045,Pulau Pinang,Bukit Mertajam,Steven Sim Chee Keong
P046,Pulau Pinang,Batu Kawan,Kasthuriraani Patto
P047,Pulau Pinang,Nibong Tebal,Mansor bin Othman
P048,Pulau Pinang,Bukit Bendera,Wong Hon Wai
P049,Pulau Pinang,Tanjong,Chow Kon Yeow
P050,Pulau Pinang,Jelutong,Sanisvara Nethaji Rayer Rajaji Rayer
P051,Pulau Pinang,Bukit Gelugor,Ramkarpal Singh
P052,Pulau Pinang,Bayan Baru,Sim Tze Tzin
P053,Pulau Pinang,Balik Pulau,Muhammad Baktiar bin Wan Chik
P054,Perak,Gerik,
P055,Perak,Lenggong,Shamsul Anuar bin Nasarah
P056,Perak,Larut,Hamzah bin Zainudin
P057,Perak,Parit Buntar,Mujahid Yusof Rawa
P058,Perak,Bagan Serai,Noor Azmi bin Ghazali
P059,Perak,Bukit Gantang,Syed Abu Hussin Hafiz bin Syed Abdul Fasal
P060,Perak,Taiping,Teh Kok Lim
P061,Perak,Padang Rengas,Mohamed Nazri bin Abdul Aziz
P062,Perak,Sungai Siput,Kesavan Subramaniam
P063,Perak,Tambun,Ahmad Faizal bin Azumu
P064,Perak,Ipoh Timur,Wong Kah Woh
P065,Perak,Ipoh Barat,Kulasegaran Murugeson
P066,Perak,Batu Gajah,Sivakumar Varatharaju
P067,Perak,Kuala Kangsar,Mastura binti Mohd Yazid
P068,Perak,Beruas,James Ngeh Koo Ham
P069,Perak,Parit,Mohd Nizar bin Zakaria
P070,Perak,Kampar,Thomas Su Keong Siong
P071,Perak,Gopeng,Lee Boon Chye
P072,Perak,Tapah,Saravanan Murugan
P073,Perak,Pasir Salak,Tajuddin bin Abdul Rahman
P074,Perak,Lumut,Mohd Hatta bin Md Ramli
P075,Perak,Bagan Datuk,Ahmad Zahid bin Hamidi
P076,Perak,Teluk Intan,David Nga Kor Ming
P077,Perak,Tanjong Malim,Chang Lih Kang
P078,Pahang,Cameron Highlands,Ramli bin Dato' Mohd Nor
P079,Pahang,Lipis,Abdul Rahman bin Mohamad
P080,Pahang,Raub,Tengku Zulpuri Shah bin Raja Puji
P081,Pahang,Jerantut,Ahmad Nazlan bin Idris
P082,Pahang,Indera Mahkota,Saifuddin bin Abdullah
P083,Pahang,Kuantan,Fuziah binti Salleh
P084,Pahang,Paya Besar,Mohd Shahar bin Abdullah
P085,Pahang,Pekan,Mohd Najib bin Tun Abdul Razak
P086,Pahang,Maran,Ismail bin Abdul Muttalib
P087,Pahang,Kuala Krau,Ismail bin Mohamed Said
P088,Pahang,Temerloh,Mohd Anuar bin Mohd Tahir
P089,Pahang,Bentong,Wong Tack
P090,Pahang,Bera,Ismail Sabri bin Yaakob
P091,Pahang,Rompin,Hasan bin Arifin
