session,date
14-03-03-01,2020-11-02
14-03-03-02,2020-11-03
14-03-03-03,2020-11-04
14-03-03-04,2020-11-05
14-03-03-05,2020-11-06
14-03-03-06,2020-11-09
14-03-03-07,2020-11-10
14-03-03-08,2020-11-11
14-03-03-09,2020-11-12
14-03-03-10,2020-11-16
14-03-03-11,2020-11-17
14-03-03-12,2020-11-18
14-03-03-13,2020-11-19
14-03-03-14,2020-11-23
14-03-03-15,2020-11-24
14-03-03-16,2020-11-25
14-03-03-17,2020-11-26
14-03-03-18,2020-11-30
14-03-03-19,2020-12-01
14-03-03-20,2020-12-02
14-03-03-21,2020-12-03
14-03-03-22,2020-12-07
14-03-03-23,2020-12-08
14-03-03-24,2020-12-09
14-03-03-25,2020-12-10
14-03-03-26,2020-12-14
14-03-03-27,2020-12-15
14-03-03-28,2020-12-16
14-03-03-29,2020-12-17
14-03-k01-01,2021-07-26
14-03-k01-02,2021-07-27
14-03-k01-03,2021-07-28
14-03-k01-04,2021-07-29
14-04-01-01,2021-09-13
14-04-01-02,2021-09-14
14-04-01-03,2021-09-15
14-04-01-04,2021-09-20
14-04-01-05,2021-09-21
14-04-01-06,2021-09-22
14-04-01-07,2021-09-23
14-04-01-08,2021-09-27
14-04-01-09,2021-09-28
14-04-01-10,2021-09-29
14-04-01-11,2021-09-30
14-04-01-12,2021-10-04
14-04-01-13,2021-10-05
14-04-01-14,2021-10-06
14-04-01-15,2021-10-07
14-04-01-16,2021-10-11
14-04-01-17,2021-10-12
14-04-02-01,2021-10-25
14-04-02-02,2021-10-26
14-04-02-03,2021-10-27
14-04-02-04,2021-10-28
14-04-02-05,2021-10-29
14-04-02-06,2021-11-01
14-04-02-07,2021-11-02
14-04-02-08,2021-11-03
14-04-02-09,2021-11-08
14-04-02-10,2021-11-09
14-04-02-11,2021-11-10
14-04-02-12,2021-11-11
14-04-02-13,2021-11-15
14-04-02-14,2021-11-16
14-04-02-15,2021-11-17
14-04-02-16,2021-11-18
14-04-02-17,2021-11-22
14-04-02-18,2021-11-23
14-04-02-19,2021-11-24
14-04-02-20,2021-11-25
14-04-02-21,2021-11-29
14-04-02-22,2021-11-30
14-04-02-23,2021-12-01
14-04-02-24,2021-12-02
14-04-02-25,2021-12-06
14-04-02-26,2021-12-07
14-04-02-27,2021-12-08
14-04-02-28,2021-12-09
14-04-02-29,2021-12-13
14-04-02-30,2021-12-14
14-04-02-31,2021-12-15
14-04-02-32,2021-12-16
14-04-02-33,2021-12-20
14-04-k01-01,2022-01-20
14-05-01-01,2022-02-28
14-05-01-02,2022-03-01
14-05-01-03,2022-03-02
14-05-01-04,2022-03-03
14-05-01-05,2022-03-07
14-05-01-06,2022-03-08
14-05-01-07,2022-03-09
14-05-01-08,2022-03-10
14-05-01-09,2022-03-14
14-05-01-10,2022-03-15
14-05-01-11,2022-03-16
14-05-01-12,2022-03-17
14-05-01-13,2022-03-21
14-05-01-14,2022-03-22
14-05-01-15,2022-03-23
14-05-01-16,2022-03-24
14-05-k01-01,2022-04-11
14-05-02-01,2022-07-18
14-05-02-02,2022-07-19
14-05-02-03,2022-07-20
14-05-02-04,2022-07-21
14-05-02-05,2022-07-25
14-05-02-06,2022-07-26
14-05-02-07,2022-07-27
14-05-02-08,2022-07-28
14-05-02-09,2022-08-01
14-05-02-10,2022-08-02
14-05-02-11,2022-08-03
14-05-02-12,2022-08-04
14-05-03-01,2022-10-03
14-05-03-02,2022-10-04
14-05-03-03,2022-10-05
14-05-03-04,2022-10-06
14-05-03-05,2022-10-07
