date,neer
2021-01-01,85.63
2021-01-04,85.56
2021-01-05,85.45
2021-01-06,85.41
2021-01-07,85.11
2021-01-08,85.35
2021-01-11,85.19
2021-01-12,84.95
2021-01-13,85.17
2021-01-14,85.36
2021-01-15,85.38
2021-01-18,85.31
2021-01-19,85.13
2021-01-20,85.2
2021-01-21,85.31
2021-01-22,85.28
2021-01-25,85.22
2021-01-26,85.11
2021-01-27,85.29
2021-01-28,85.48
2021-01-29,85.26
2021-02-01,85.5
2021-02-02,85.45
2021-02-03,85.36
2021-02-04,85.28
2021-02-05,85.14
2021-02-08,85.09
2021-02-09,85.1
2021-02-10,85.17
2021-02-11,85.14
2021-02-12,85.26
2021-02-15,85.33
2021-02-16,85.49
2021-02-17,85.54
2021-02-18,85.38
2021-02-19,85.22
2021-02-22,85.37
2021-02-23,85.27
2021-02-24,85.23
2021-02-25,85.29
2021-02-26,85.53
2021-03-01,85.5
2021-03-02,85.51
2021-03-03,85.55
2021-03-04,85.53
2021-03-05,85.62
2021-03-08,85.34
2021-03-09,85.04
2021-03-10,84.83
2021-03-11,84.82
2021-03-12,84.86
2021-03-15,84.97
2021-03-16,84.88
2021-03-17,84.84
2021-03-18,85.01
2021-03-19,85.1
2021-03-22,84.91
2021-03-23,84.86
2021-03-24,84.88
2021-03-25,84.75
2021-03-26,84.76
2021-03-29,84.93
2021-03-30,84.94
2021-03-31,84.96
2021-04-01,85.02
2021-04-02,85.02
2021-04-05,85.01
2021-04-06,85.05
2021-04-07,84.94
2021-04-08,84.8
2021-04-09,84.92
2021-04-12,84.92
2021-04-13,84.98
2021-04-14,84.79
2021-04-15,84.76
2021-04-16,84.61
2021-04-19,84.48
2021-04-20,84.62
2021-04-21,84.61
2021-04-22,84.69
2021-04-23,84.67
2021-04-26,84.83
2021-04-27,84.83
2021-04-28,84.82
2021-04-29,84.58
2021-04-30,84.84
2021-05-03,84.85
2021-05-04,84.61
2021-05-05,84.59
2021-05-06,84.42
2021-05-07,84.48
2021-05-10,84.09
2021-05-11,83.96
2021-05-12,84.03
2021-05-13,84.33
2021-05-14,84.11
2021-05-17,84.11
2021-05-18,83.86
2021-05-19,83.78
2021-05-20,83.63
2021-05-21,83.65
2021-05-24,83.53
2021-05-25,83.4
2021-05-26,83.34
2021-05-27,83.43
2021-05-28,83.68
2021-05-31,83.65
2021-06-01,83.61
2021-06-02,83.73
2021-06-03,83.81
2021-06-04,83.93
2021-06-07,83.66
2021-06-08,83.81
2021-06-09,83.81
2021-06-10,83.83
2021-06-11,84.1
2021-06-14,84.09
2021-06-15,84.11
2021-06-16,84.03
2021-06-17,84.31
2021-06-18,84.38
2021-06-21,84.38
2021-06-22,84.18
2021-06-23,84.07
2021-06-24,84.07
2021-06-25,84.02
2021-06-28,84.39
2021-06-29,84.33
2021-06-30,84.31
2021-07-01,84.28
2021-07-02,84.4
2021-07-05,84.29
2021-07-06,84.36
2021-07-07,84.3
2021-07-08,84.13
2021-07-09,83.82
2021-07-12,83.86
2021-07-13,83.78
2021-07-14,83.64
2021-07-15,83.59
2021-07-16,83.52
2021-07-19,83.47
2021-07-20,83.46
2021-07-21,83.34
2021-07-22,83.38
2021-07-23,83.38
2021-07-26,83.3
2021-07-27,83.27
2021-07-28,83.19
2021-07-29,82.78
2021-07-30,83.14
2021-08-02,83.02
2021-08-03,83.06
2021-08-04,83
2021-08-05,83.17
2021-08-06,83.28
2021-08-09,83.27
2021-08-10,83.41
2021-08-11,83.23
2021-08-12,83.22
2021-08-13,83.16
2021-08-16,83.1
2021-08-17,83.14
