country_official,country_display,currency,export_2021,import_2021,export_2022,import_2022
CHINA,China,CNY,192048.99,229018.5,82700,105099
SINGAPORE,Singapore,SGD,173386.51,93722.34,84956,50402
UNITED STATES OF AMERICA (THE),USA,USD,142236.97,74866.62,62427,36417
JAPAN,Japan,JPY,75270.13,73711.97,37364,32863
TAIWAN (PROVINCE OF CHINA),Taiwan,TWD,40538.94,75202.86,21038,38085
THAILAND,Thailand,THB,52396.68,45574.95,26965,22762
INDONESIA,Indonesia,IDR,39216.9,55884.63,19595,29389
HONG KONG,Hong Kong,HKD,76626.31,17631.92,34481,8064
KOREA (THE REPUBLIC OF),South Korea,KRW,37651.38,50080.7,21204,23131
VIET NAM,Vietnam,VND,45502.1,23763.37,23047,14879
INDIA,India,INR,45183.76,24530.52,22001,13126
AUSTRALIA,Australia,AUD,35145,22562,18025,12446
GERMANY,Germany,EUR,28456.96,25490.08,12538,11820
NETHERLANDS (THE),Netherlands,EUR,31175.55,4837.59,17155,2349
PHILIPPINES (THE),Philippines,PHP,22621.67,9907.57,11198,5655
UNITED ARAB EMIRATES,UAE,AED,10587.2,11706.43,5786,8525
SAUDI ARABIA,Saudi Arabia,SAR,5056.42,12502.67,2915,10185
TURKEY,Turkey,TRY,14124.96,2844.93,8172,979
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),UK,GBP,9781.45,7394.69,3495,3390
ITALY,Italy,EUR,7143.95,7668.07,3945,3794
BRAZIL,Brazil,BRL,4291.18,11577.99,1685,4529
MEXICO,Mexico,MXN,11589.55,2303.99,6291,1131
IRELAND,Ireland,EUR,1084.4,12594.25,344,4723
BANGLADESH,Bangladesh,BDT,9358.32,1300.05,6614,607
FRANCE,France,EUR,5133.43,6949.45,2383,3266
BELGIUM,Belgium,EUR,6405.39,4250.46,3368,1700
SWITZERLAND,Switzerland,CHF,1954.26,7704.9,1284,3334
CANADA,Canada,CAD,6356.88,3566.96,2048,1909
RUSSIAN FEDERATION,Russia,RUB,3854.79,4926.29,898,3657
BRUNEI DARUSSALAM,Brunei,BND,5776.24,2256.73,2432,1225
NEW ZEALAND,New Zealand,NZD,4419,3120,2203,1800
ARGENTINA,Argentina,ARS,826.44,6885.7,298,2939
PAKISTAN,Pakistan,PKR,5994.08,1899.47,2138,893
SPAIN,Spain,EUR,4698.43,2250.39,2578,1008
"SOUTH AFRICA, REPUBLIC OF",South Africa,ZAR,3438.93,1947.2,2560,888
OMAN,Oman,OMR,1204.28,3247.36,585,1832
KENYA,Kenya,KES,4667.16,120.38,2008,40
NIGERIA,Nigeria,NGN,3767.16,1512.05,786,725
COSTA RICA,Costa Rica,CRC,3890.17,768.13,1444,460
CZECH REPUBLIC,Czech Republic,CZK,3289.09,1215.95,1405,469
REPUBLIC OF UNION OF MYANMAR,Myanmar,MMK,2709.73,1168.83,1764,715
POLAND,Poland,PLN,3076.73,1113.76,1584,528
SWEDEN,Sweden,SEK,1937.63,2218.66,963,1057
IRAQ,Iraq,IQD,1863.64,1899.93,1445,918
COTE D'IVOIRE,Cote D'Ivoire,XOF,501.21,3662.23,189,1631
EGYPT,Egypt,EGP,2851.71,921.95,1742,357
GHANA,Ghana,GHS,2362.5,1928.81,380,993
QATAR,Qatar,QAR,1488.33,1138.6,567,1885
AUSTRIA,Austria,EUR,536.57,2747.95,333,1118
"SRI LANKA, REPUBLIC OF",Sri Lanka,LKR,3023.72,321.59,1014,133
HUNGARY,Hungary,HUF,2253.58,771.48,1126,335
"IRAN, ISLAMIC REP. OF",Iran,IRR,2343.7,282.52,1058,106
SLOVENIA,Slovenia,EUR,2522.9,244.71,918,91
CAMBODIA,Cambodia,KHR,1893.92,453.81,984,235
DENMARK,Denmark,DKK,1217.36,1202.21,424,538
BOLIVIA,Bolivia,BOB,84.39,23.91,30,6
